,dates,candidates_scores,health_scores,immigration_scores,jobs-race_scores,environment_scores,guns_scores,party_scores,economy_scores,winner
29,2012-09-05,1.7857142857142858,2.0,2.0,1.4285714285714286,1.9,1.8181818181818181,1.9090909090909092,1.962962962962963,0
30,2012-09-06,1.9285714285714286,,2.5,2.0,1.8888888888888888,1.8571428571428572,2.125,1.9444444444444444,0
31,2012-09-07,1.9047619047619047,2.0,2.0,2.0,1.5,1.9411764705882353,2.0476190476190474,1.8181818181818181,0
32,2012-09-08,1.6666666666666667,1.5,2.0,2.0,2.4,1.6,1.6363636363636365,1.9,0
33,2012-09-09,2.5,2.0,2.0,,2.0,1.5,1.8571428571428572,1.7777777777777777,0
34,2012-09-10,2.0,2.0,2.0,1.3333333333333333,2.0,1.8888888888888888,1.894736842105263,1.96,0
35,2012-09-11,1.9,2.0,1.0,1.5,2.0,1.9090909090909092,1.9444444444444444,1.9047619047619047,0
36,2012-09-12,1.6,2.0,2.0,1.7,2.1666666666666665,2.0,1.8148148148148149,1.9696969696969697,0
37,2012-09-13,1.7272727272727273,2.0,1.5,1.7777777777777777,1.8,1.7777777777777777,1.8666666666666667,1.7777777777777777,0
38,2012-09-14,2.2857142857142856,2.6666666666666665,2.0,2.2222222222222223,1.9090909090909092,1.7857142857142858,1.85,2.0,0
39,2012-09-15,2.0,,2.3333333333333335,1.3333333333333333,2.0,1.5714285714285714,2.0,2.25,0
40,2012-09-16,2.0,,3.0,2.0,,2.2,1.8333333333333333,2.4615384615384617,0
41,2012-09-17,2.0,2.0,2.5,2.0,1.5714285714285714,2.0,1.7857142857142858,2.0714285714285716,0
42,2012-09-18,1.793103448275862,1.8333333333333333,1.0,1.0,2.0,1.9090909090909092,1.7333333333333334,1.9259259259259258,0
43,2012-09-19,1.68,2.0,2.125,2.5,2.4285714285714284,1.9333333333333333,1.8,1.8928571428571428,0
44,2012-09-20,1.7333333333333334,,1.7142857142857142,2.0,1.8461538461538463,2.125,1.7058823529411764,1.8888888888888888,0
45,2012-09-21,2.2222222222222223,1.7,2.0,2.2,1.75,1.7857142857142858,1.8571428571428572,2.0,0
46,2012-09-22,1.75,2.0,2.0,2.0,1.6,1.5,1.7777777777777777,1.8888888888888888,0
47,2012-09-23,1.2,,1.5,2.25,1.5,2.5,1.625,1.9166666666666667,0
48,2012-09-24,1.9,1.5,2.4,1.8333333333333333,1.8333333333333333,2.0,1.9615384615384615,1.7352941176470589,0
49,2012-09-25,2.0,2.0,1.6666666666666667,2.0,1.5,1.9411764705882353,2.130434782608696,2.088888888888889,0
50,2012-09-26,1.7,2.2,1.6,2.0,2.0,2.090909090909091,1.875,1.8571428571428572,0
51,2012-09-27,2.0,,2.4444444444444446,1.75,2.090909090909091,1.9090909090909092,1.9411764705882353,1.9090909090909092,0
52,2012-09-28,2.3333333333333335,2.0,1.5,2.1,1.6666666666666667,1.8333333333333333,2.0555555555555554,2.1025641025641026,0
53,2012-09-29,2.0,,1.0,2.0,3.0,1.6666666666666667,2.1,2.066666666666667,0
54,2012-09-30,2.0,1.7142857142857142,,1.4,1.6666666666666667,1.6666666666666667,2.0,2.1875,0
55,2012-10-01,2.4,1.875,2.0,2.2,1.5833333333333333,1.6666666666666667,1.6428571428571428,1.7741935483870968,0
56,2012-10-02,1.875,2.0,1.8,1.6,2.0,1.7777777777777777,1.5714285714285714,1.9333333333333333,0
57,2012-10-03,2.090909090909091,2.1666666666666665,1.3333333333333333,,2.0,2.1666666666666665,1.8666666666666667,1.9230769230769231,0
58,2012-10-04,2.129032258064516,,1.4,1.75,1.5714285714285714,1.875,1.9166666666666667,1.837837837837838,0
59,2012-10-05,1.826086956521739,1.9285714285714286,1.8,1.875,1.6,1.9090909090909092,1.9090909090909092,1.5833333333333333,0
60,2012-10-06,2.0,2.0,,2.0,1.8,2.3333333333333335,2.125,1.9333333333333333,0
61,2012-10-07,1.8,3.0,2.0,2.0,2.6,2.3333333333333335,2.0,1.8571428571428572,0
62,2012-10-08,1.7894736842105263,,2.0,2.0,1.5833333333333333,1.75,1.8461538461538463,1.88,0
