,created_at,text,user_followers_count,retweet_count,favorite_count,hashtags
665,2016-12-29,running low https://t.co/6P1Z9QYkLd,12078,0,0,[]
668,2016-12-29,It's gonna take more than a couple bullets to kill me homeboy.,575,0,0,[]
3,2016-12-29,@IceyConcepts @WeSnipeToCure &lt;3,1479,0,0,[]
6,2016-12-29,RT @vanilla_chi_tea: @yalibh @shyylahh Lmaoo wow now informed. Finna hit up oomf,873,0,0,[]
8,2016-12-29,"RT @PlaceForThings: ARTISTS SUBMIT YOUR NEW MUSIC HERE

WE'RE LISTENING ALL NIGHT

https://t.co/qYCUHHS1D5 https://t.co/3haOR1LzcT",1388,0,0,[]
13,2016-12-29,Red Dress on!,143,0,0,[]
14,2016-12-29,@TheWhiteCape_ @GodHatesMegann @Franthebait what,104,0,0,[]
15,2016-12-29,RT @tenlubonmo1970: Hot Brunette Jeune pipe https://t.co/z7wa4GLznO,651,0,0,[]
16,2016-12-29,"RT @Complex: Cheetahs, giraffes &amp; elephants are all facing extinction.  https://t.co/CjoXbXCTPr https://t.co/WORvnlimEx",60,0,0,[]
29,2016-12-29,RT @baefromtexas: RT if u going to a different 2017 https://t.co/VKFV13DdZN,718,0,0,[]
37,2016-12-29,ressemble a une jeune fille qui masturbeasza https://t.co/ab1ooBGzrR,435,0,0,[]
41,2016-12-29,RT @sextgoalss: https://t.co/QXWAeXkt5V,134,0,0,[]
42,2016-12-29,@TheBabyWebsite  nice,691,0,0,[]
56,2016-12-29,Inspiring Pioneers: Are You Ready for Our Journey? https://t.co/WbuN5v0xYF via @MeghanMBiro,103993,0,0,[]
65,2016-12-29,Vixx TV2 ep 46 #TeamVIXX https://t.co/PbXfQX3sdC,20,0,0,"[{'text': 'TeamVIXX', 'indices': [15, 24]}]"
92,2016-12-29,I've just voted for Niall Horan as my favourite #NOW2016 artist by #NOWNiallHoran - you can vote here https://t.co/KLJaHLS39L,559,0,0,"[{'text': 'NOW2016', 'indices': [48, 56]}, {'text': 'NOWNiallHoran', 'indices': [67, 81]}]"
95,2016-12-29,If I feel like I'm being pushed away I'm falling back.,626,0,0,[]
102,2016-12-29,RT @monjaica: kilig moments w/ #TeamSuperJunior #SoompiAwards,181,0,0,"[{'text': 'TeamSuperJunior', 'indices': [31, 47]}, {'text': 'SoompiAwards', 'indices': [48, 61]}]"
108,2016-12-29,one person followed me and 4 people unfollowed me // automatically checked by https://t.co/bhDt4ARJaO,1718,0,0,[]
